标准实体编号,标准实体名称,实体类型,别名集合,定义或备注,代表来源文档,代表来源页码,代表证据句,关联原始实体数,累计提及次数,最高置信度,复核状态
SE0099,常规布局,气动布局,,接翼布局使用前后串列的机翼排列成菱形，和常规布局相比，连接翼布局菱形的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,接翼布局使用前后串列的机翼排列成菱形，和常规布局相比，连接翼布局菱形的,1,14,0.95,已规范化
SE0100,平直机翼布局,气动布局,,4“全球鹰”无人机(图1.1)是大展弦比平直机翼布局的典型代表，通过先,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,4“全球鹰”无人机 (图1.1)是大展弦比平直机翼布局的典型代表，通过先,1,1,0.9,已规范化
SE0101,平直翼,气动布局,,的平直翼。随着马赫数的增大，在跨声速巡航或,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,14,的平直翼。随着马赫数的增大，在跨声速巡航或,1,5,0.95,已规范化
SE0102,折叠构型,气动布局,folded configuration；收缩折叠构型,"methodology, the aerodynamic characteristics and flight stability of the folded and unfolded configu…",D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,7,"methodology, the aerodynamic characteristics and flight stability of the folded and unfolded configurations of the aerospace vehicle are",3,23,0.95,已规范化
SE0103,支撑翼布局,气动布局,,上进一步开发出了连接翼布局、支撑翼布局、双/多机身布局等其他布局形式，以,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,上进一步开发出了连接翼布局、支撑翼布局、双/多机身布局等其他布局形式，以,1,3,0.95,已规范化
SE0104,无尾布局,气动布局,,取代无尾布局前缘和后缘的铰接控制面，并在无,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,取代无尾布局前缘和后缘的铰接控制面，并在无,1,6,0.95,已规范化
SE0105,气动布局,气动布局,,当传统的固定翼飞行器性能囿于单一气动布局,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,当传统的固定翼飞行器性能囿于单一气动布局,1,20,0.95,已规范化
SE0106,气动布局方案优化,气动布局,,估、气动布局方案优化、多学科耦合设计等方面的关键技术难点，重点对变体飞行器动态气动力计算方法和气动优化设,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,估、气动布局方案优化、多学科耦合设计等方面的关键技术难点，重点对变体飞行器动态气动力计算方法和气动优化设,1,1,0.9,已规范化
SE0107,气动布局设计,气动布局,,气动布局设计包括气动外形的设计、飞行器布,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,气动布局设计包括气动外形的设计、飞行器布,1,20,0.95,已规范化
SE0108,翼身组合布局,气动布局,,翼身组合布局是飞行器总体外形或翼面组合方式，直接影响气动效率、稳定性和任务适应性。,待人工补充,,,1,0,0.6,已规范化
SE0109,菱形连接翼,气动布局,,菱形连接翼是飞行器总体外形或翼面组合方式，直接影响气动效率、稳定性和任务适应性。,待人工补充,,,1,0,0.6,已规范化
SE0110,连接翼,气动布局,,上进一步开发出了连接翼布局、支撑翼布局、双/多机身布局等其他布局形式，以,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,上进一步开发出了连接翼布局、支撑翼布局、双/多机身布局等其他布局形式，以,1,8,0.95,已规范化
SE0111,连接翼布局,气动布局,,上进一步开发出了连接翼布局、支撑翼布局、双/多机身布局等其他布局形式，以,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,上进一步开发出了连接翼布局、支撑翼布局、双/多机身布局等其他布局形式，以,1,8,0.95,已规范化
SE0112,飞翼布局,气动布局,,随着飞翼布局飞行器性能优势愈加显著，探,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,17,随着飞翼布局飞行器性能优势愈加显著，探,1,11,0.95,已规范化
SE0113,鸭式布局,气动布局,,会对变体造成较多干扰，因此单-双折叠翼变体飞行器应避免使用鸭式布局、,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,125,会对变体造成较多干扰，因此单-双折叠翼变体飞行器应避免使用鸭式布局、,1,2,0.9,已规范化
SE0114,SMA,结构部件,,"(SmartMemoryAlloy,SMA)替代传统铰链，实现",D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,"(Smart Memory Alloy, SMA)替代传统铰链，实现",1,20,0.95,已规范化
SE0115,上机翼,结构部件,上翼,图4.35上翼带有上反角的双翼与常规双翼升力阻力对比...........................59,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,13,图 4.35 上翼带有上反角的双翼与常规双翼升力阻力对比 ........................... 59,2,33,0.95,已规范化
SE0116,下机翼,结构部件,下翼,图4.5上下机翼处于不同位置时机翼的零升攻角.......................................39,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,12,图 4.5 上下机翼处于不同位置时机翼的零升攻角 ....................................... 39,2,40,0.95,已规范化
SE0117,主动柔性机翼,结构部件,,"“主动柔性机翼(ActiveFlexibleWing,AFW)”、“主",D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,"“主动柔性机翼(Active Flexible Wing, AFW)”、“主",1,2,0.9,已规范化
SE0118,主动气动弹性机翼,结构部件,active aeroelastic wing,性变体、设计主动气动弹性机翼、到聚焦柔性变形,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,性变体、设计主动气动弹性机翼、到聚焦柔性变形,2,4,0.95,已规范化
SE0119,充气机翼,结构部件,,架、充气机翼、伸缩翼等等，但这些变体方式存在着机构复杂、重量代价大、对,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,架、充气机翼、伸缩翼等等，但这些变体方式存在着机构复杂、重量代价大、对,1,2,0.9,已规范化
SE0120,内翼段,结构部件,,段与内翼段连接处的运动机构实现机翼后掠角,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,段与内翼段连接处的运动机构实现机翼后掠角,1,1,0.9,已规范化
SE0121,刚度设计,结构部件,,球鹰”无人机为原准机，开展了变体机构的强度刚度设计，形成了单-双折叠翼变,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,球鹰”无人机为原准机，开展了变体机构的强度刚度设计，形成了单-双折叠翼变,1,1,0.9,已规范化
SE0122,前缘,结构部件,,两个机翼的上下间距(Gap)、两个机翼前缘的前后间距(Stagger)，如图,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,53,两个机翼的上下间距(Gap)、两个机翼前缘的前后间距(Stagger)，如图,1,14,0.95,已规范化
SE0123,前翼,结构部件,,局相比，会导致新的非对称气动问题。前翼后缘,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,22,局相比，会导致新的非对称气动问题。前翼后缘,1,1,0.9,已规范化
SE0124,副翼,结构部件,副翼面,图4.57不同副翼面积的机翼在不同攻角下副翼偏转时俯仰力矩变化情况..73,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,14,图 4.57 不同副翼面积的机翼在不同攻角下副翼偏转时俯仰力矩变化情况.. 73,2,31,0.95,已规范化
SE0125,单块式机翼,结构部件,,固定翼飞机的机翼结构一般包括梁式机翼、单块式机翼、多腹板式机翼等,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,固定翼飞机的机翼结构一般包括梁式机翼、单块式机翼、多腹板式机翼等,1,3,0.95,已规范化
SE0126,变翼面积,结构部件,,术的发展，通过大幅度改变翼面积或展长改善飞,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,16,术的发展，通过大幅度改变翼面积或展长改善飞,1,2,0.9,已规范化
SE0127,后缘,结构部件,,取代无尾布局前缘和后缘的铰接控制面，并在无,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,取代无尾布局前缘和后缘的铰接控制面，并在无,1,20,0.95,已规范化
SE0128,后翼,结构部件,,翼)。其次，机翼伸展开后，翼面的不连续外形会,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,20,翼)。其次，机翼伸展开后，翼面的不连续外形会,1,2,0.9,已规范化
SE0129,固定机翼,结构部件,,图3.4固定机翼与活动机翼之间的连杆为两个或多个时的情况..................28,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,12,图 3.4 固定机翼与活动机翼之间的连杆为两个或多个时的情况 .................. 28,1,20,0.95,已规范化
SE0130,固定机翼与活动机翼,结构部件,,图3.4固定机翼与活动机翼之间的连杆为两个或多个时的情况..................28,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,12,图 3.4 固定机翼与活动机翼之间的连杆为两个或多个时的情况 .................. 28,1,9,0.95,已规范化
SE0131,地面声爆强度,结构部件,,的地面声爆强度。可变形状和变级数的头部静,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,9,的地面声爆强度。可变形状和变级数的头部静,1,1,0.9,已规范化
SE0132,垂尾,结构部件,,尾翼，其平尾面积和垂尾面积进行了等效折算。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,102,尾翼，其平尾面积和垂尾面积进行了等效折算。,1,4,0.95,已规范化
SE0133,复合材料机翼结构,结构部件,,进的复合材料机翼结构，“全球鹰”系列无人机的展弦比在25以上，翼展接近,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,进的复合材料机翼结构，“全球鹰”系列无人机的展弦比在25 以上，翼展接近,1,1,0.9,已规范化
SE0134,外翼段,结构部件,,统外翼段/翼尖折叠技术在飞翼布局上的应用。,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,18,统外翼段/翼尖折叠技术在飞翼布局上的应用。,1,1,0.9,已规范化
SE0135,多腹板式机翼,结构部件,,固定翼飞机的机翼结构一般包括梁式机翼、单块式机翼、多腹板式机翼等,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,固定翼飞机的机翼结构一般包括梁式机翼、单块式机翼、多腹板式机翼等,1,4,0.95,已规范化
SE0136,大展弦比平直机翼,结构部件,,大展弦比平直机翼是最常见的大展弦比布局形式，平直机翼结构简单，气动,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,大展弦比平直机翼是最常见的大展弦比布局形式，平直机翼结构简单，气动,1,5,0.95,已规范化
SE0137,大展弦比机翼,结构部件,,大展弦比机翼可以极大地降低飞机的诱导阻力，提高飞机的升阻比，但随着,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,大展弦比机翼可以极大地降低飞机的诱导阻力，提高飞机的升阻比，但随着,1,5,0.95,已规范化
SE0138,尾翼,结构部件,,器，可以同时改变机翼和尾翼的展长，如图1.18所示。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,28,器，可以同时改变机翼和尾翼的展长 ，如图 1.18 所示。,1,17,0.95,已规范化
SE0139,展弦比平直机翼,结构部件,,大展弦比平直机翼是最常见的大展弦比布局形式，平直机翼结构简单，气动,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,大展弦比平直机翼是最常见的大展弦比布局形式，平直机翼结构简单，气动,1,7,0.95,已规范化
SE0140,弹体,结构部件,,制避免了舵面与弹体的气动干扰。并且，由于弹,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,制避免了舵面与弹体的气动干扰。并且，由于弹,1,2,0.9,已规范化
SE0141,弹头,结构部件,,式，如自适应偏转弹头、可变进气道、倾转机翼技,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,式，如自适应偏转弹头、可变进气道、倾转机翼技,1,20,0.95,已规范化
SE0142,强度刚度设计,结构部件,,球鹰”无人机为原准机，开展了变体机构的强度刚度设计，形成了单-双折叠翼变,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,球鹰”无人机为原准机，开展了变体机构的强度刚度设计，形成了单-双折叠翼变,1,1,0.9,已规范化
SE0143,强度设计,结构部件,,了变体对于飞机稳定性的影响；在变体的结构机构设计研究中，分析了变体过程中机翼和机构的传力路径和受力特性，并进一步以“全球鹰”无人机为原准机，开展了变体机构的强度刚度设计，形成了单-双折叠翼变体飞行器结…,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,了变体对于飞机稳定性的影响；在变体的结构机构设计 研究中，分析了变体过程中机翼和机构的传力路径和受力特性，并进一步以“全 球鹰”无人机为原准机，开展了变体机构的强度刚度设计，形成了单-双折叠翼变 体飞行器结构设计方案。此后，基于以上三项研究内容，进一步开展了单-双折叠 翼变体飞行器总体设计方法研究，分析了单-双折叠翼变体飞,1,1,0.82,已规范化
SE0144,形状记忆合金,结构部件,shape memory alloy,能材料与结构的应用进一步加强，以形状记忆合金,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,能材料与结构的应用进一步加强，以形状记忆合金,2,5,0.95,已规范化
SE0145,数字化复合材料航空结构,结构部件,,航空学报629595-5装置(AdaptiveTrailingEdgeDevice，ATED)可以实现后缘的智能变弯度，有效降低了飞行油耗［15］。项目过程中开展了多次风洞试验，充分验证了前缘、后缘、…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,航 空 学 报 629595-5 装置(Adaptive Trailing Edge Device， ATED)可以 实现后缘的智能变弯度，有效降低了飞行油耗 ［15］。 项目过程中开展了多次风洞试验，充分验证了前 缘、后缘、翼梢变形的可行性。 2014 年，NASA 组织开展了自适应柔性后缘 (Adaptive Compliant Trailing Edge， ACTE)项 目 ［16］。在湾流飞机上安装ACTE 襟翼来实现后 缘连续,1,1,0.9,已规范化
SE0146,斜置机翼,结构部件,,［78］提出的斜置机翼方案能有效减小激波,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,20,［78］提出的斜置机翼方案能有效减小激波,1,20,0.95,已规范化
SE0147,新型机械结构,结构部件,,以新型机械结构为主导的变展长变体飞行器，如Z字型折叠翼，机械结构驱动的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,30,以新型机械结构为主导的变展长变体飞行器，如Z 字型折叠翼，机械结构驱动的,1,1,0.9,已规范化
SE0148,智能机翼,结构部件,,展了智能机翼(SmartWing)项目,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,展了智能机翼(Smart Wing)项目,1,3,0.95,已规范化
SE0149,智能材料,结构部件,,必然呈现出高度自动化的特征；另一种则以智能材料,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,必然呈现出高度自动化的特征；另一种则以智能材料,1,19,0.95,已规范化
SE0150,智能结构,结构部件,,智能材料与智能结构技术，通过机翼主动气动弹,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,智能材料与智能结构技术，通过机翼主动气动弹,1,6,0.95,已规范化
SE0151,机械结构,结构部件,,机型，借助于机械结构驱动，设计方案包括变后掠,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,机型，借助于机械结构驱动，设计方案包括变后掠,1,5,0.95,已规范化
SE0152,机翼固定段,结构部件,,动补偿措施，如F-14飞机在机翼固定段前缘设计,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,10,动补偿措施，如F-14 飞机在机翼固定段前缘设计,1,1,0.9,已规范化
SE0153,机翼载荷,结构部件,,2)起飞重量：综合考虑到试飞场地条件和飞机翼载荷的要求，验证机的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,140,2)起飞重量：综合考虑到试飞场地条件和飞机翼载荷的要求，验证机的,1,1,0.9,已规范化
SE0154,机翼骨架,结构部件,,机翼骨架是变构飞行器结构、材料或翼面部件之一，与承载、传力和变形实现有关。,待人工补充,,,1,0,0.6,已规范化
SE0155,机身,结构部件,,图8.7机身上部的翼台及其结构..............................................................127,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,16,图 8.7 机身上部的翼台及其结构 .............................................................. 127,1,20,0.95,已规范化
SE0156,机鼻,结构部件,,机上的可下垂机鼻。在起降阶段，机鼻下垂以改善,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,机上的可下垂机鼻。在起降阶段，机鼻下垂以改善,1,2,0.9,已规范化
SE0157,柔性组合机翼,结构部件,,项目充分验证了柔性组合机翼的可行性。,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,项目充分验证了柔性组合机翼的可行性。,1,1,0.9,已规范化
SE0158,柔性蒙皮,结构部件,,智能材料驱动器和柔性蒙皮作为变构飞行器设,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,3,智能材料驱动器和柔性蒙皮作为变构飞行器设,1,11,0.95,已规范化
SE0159,梁式机翼,结构部件,,图6.18梁式机翼的结构...........................................................................100,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,15,图 6.18 梁式机翼的结构 ........................................................................... 100,1,9,0.95,已规范化
SE0160,气动-结构重量最优,结构部件,,2.3.2气动-结构重量最优下的飞机最优展弦比.....................................19,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,8,2.3.2 气动-结构重量最优下的飞机最优展弦比 ..................................... 19,1,3,0.95,已规范化
SE0161,气动舵面设计,结构部件,,7.3.3单-双折叠翼变体飞行器的气动舵面设计...................................111,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,10,7.3.3 单-双折叠翼变体飞行器的气动舵面设计 ................................... 111,1,3,0.95,已规范化
SE0162,油箱侵占,结构部件,,油箱侵占是变构飞行器结构、材料或翼面部件之一，与承载、传力和变形实现有关。,待人工补充,,,1,0,0.6,已规范化
SE0163,活动机翼,结构部件,,图3.4固定机翼与活动机翼之间的连杆为两个或多个时的情况..................28,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,12,图 3.4 固定机翼与活动机翼之间的连杆为两个或多个时的情况 .................. 28,1,20,0.95,已规范化
SE0164,结构刚度,结构部件,,结构刚度是变构飞行器结构、材料或翼面部件之一，与承载、传力和变形实现有关。,待人工补充,,,1,0,0.6,已规范化
SE0165,结构增重,结构部件,,展弦比飞行器的性能缺陷，但现有的变展长变体技术往往在结构增重、空间侵占,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,展弦比飞行器的性能缺陷，但现有的变展长变体技术往往在结构增重、空间侵占,1,2,0.9,已规范化
SE0166,结构复杂度,结构部件,,驱动结构增加飞机重量、结构复杂度，气动中心,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,10,驱动结构增加飞机重量、结构复杂度，气动中心,1,1,0.9,已规范化
SE0167,结构强度,结构部件,,形尺度较小，其结构强度也无法满足大型飞行器的需求。综合来看，这些变展长,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,31,形尺度较小，其结构强度也无法满足大型飞行器的需求。综合来看，这些变展长,1,11,0.95,已规范化
SE0168,结构设计,结构部件,,周期以及建立后续结构设计、控制系统设计和变构,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,周期以及建立后续结构设计、控制系统设计和变构,1,20,0.95,已规范化
SE0169,结构重量,结构部件,,价与收益进行对比衡量；严格控制结构重量或将成为未来推动变构飞行技术工程实用化的关键。,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,价与收益进行对比衡量；严格控制结构重量或将成为未来推动变构飞行技术工程实用化的关键。,1,20,0.95,已规范化
SE0170,缝翼,结构部件,,结构控制的飞机局部变形。如通过襟翼、缝翼等,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,结构控制的飞机局部变形。如通过襟翼、缝翼等,1,3,0.95,已规范化
SE0171,翼型,结构部件,,对无粘不可压流场中儒科夫斯基翼型厚度、弯度的,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,对无粘不可压流场中儒科夫斯基翼型厚度、弯度的,1,20,0.95,已规范化
SE0172,翼根,结构部件,,难度，对端头做了钝化处理，在翼根处增加了折展,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,2,难度，对端头做了钝化处理，在翼根处增加了折展,1,19,0.95,已规范化
SE0173,翼梢小翼,结构部件,,Edge，ATED)、翼梢小翼主动后缘(WingletActive,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,4,Edge， ATED)、翼梢小翼主动后缘(Winglet Active,1,2,0.9,已规范化
SE0174,翼梢小翼主动后缘,结构部件,,Edge，ATED)、翼梢小翼主动后缘(WingletActive,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,4,Edge， ATED)、翼梢小翼主动后缘(Winglet Active,1,1,0.9,已规范化
SE0175,翼面积,结构部件,,翼面积和形状等，中等尺度变构包括变翼型弯度、,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,3,翼面积和形状等，中等尺度变构包括变翼型弯度、,1,20,0.95,已规范化
SE0176,蒙皮,结构部件,,刘欣煜等以一种滑动蒙皮变后掠翼飞行器为研究,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,刘欣煜等 以一种滑动蒙皮变后掠翼飞行器为研究,1,20,0.95,已规范化
SE0177,襟翼,结构部件,,结构控制的飞机局部变形。如通过襟翼、缝翼等,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,结构控制的飞机局部变形。如通过襟翼、缝翼等,1,8,0.95,已规范化
SE0178,连续蒙皮,结构部件,,气动收益。此外，还存在非连续蒙皮变形使局部应,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,4,气动收益。此外，还存在非连续蒙皮变形使局部应,1,4,0.95,已规范化
SE0179,非连续蒙皮,结构部件,,气动收益。此外，还存在非连续蒙皮变形使局部应,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,4,气动收益。此外，还存在非连续蒙皮变形使局部应,1,1,0.9,已规范化
SE0180,鸭翼,结构部件,,且对于流场的均匀性和稳定性有一定要求。如使用鸭翼等前置的翼面，其尾流,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,125,且对于流场的均匀性和稳定性有一定要求。如使用鸭翼等前置的翼面，其尾流,1,7,0.95,已规范化
SE0181,鸭翼舵面,结构部件,,偏转弹头、鸭翼舵面是控制导弹机动的2种,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,偏转弹头、鸭翼舵面是控制导弹机动的2 种,1,4,0.95,已规范化
SE0182,伸缩运动机构,机构/执行系统,,航空学报629595-20和结构技术等的限制，伸缩结构较为笨重复杂，伸缩机翼技术的发展缓慢。21世纪初，随着材料、结构等的发展，伸缩机翼技术重新得到关注。其中最具代表性的是MAS项目中的伸缩机翼方案，…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,20,航 空 学 报 629595-20 和结构技术等的限制，伸缩结构较为笨重复杂，伸 缩机翼技术的发展缓慢。 21 世纪初，随着材料、结构等的发展，伸缩机 翼技术重新得到关注。其中最具代表性的是 MAS 项目中的伸缩机翼方案，以“战斧”巡航导 弹为研究对象，希望能使导弹以小展弦比快速飞 至高空，以大展弦比在高空巡航至攻击目标上 空，再以小展弦比形式快速俯冲打击目标。其机 翼展长最大有50% 的增幅，从而使得在巡航末端 的盘旋时间增加约75%,1,1,0.9,已规范化
SE0183,作动器,机构/执行系统,,3.3.2气动力驱动变体与作动器直接驱动变体的比较............................30,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,9,3.3.2 气动力驱动变体与作动器直接驱动变体的比较 ............................ 30,1,20,0.95,已规范化
SE0184,作动器直接驱动,机构/执行系统,作动器直接驱动变体,3.3.2气动力驱动变体与作动器直接驱动变体的比较............................30,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,9,3.3.2 气动力驱动变体与作动器直接驱动变体的比较 ............................ 30,1,10,0.95,已规范化
SE0185,动力装置变体,机构/执行系统,,部变体、机翼变体、动力装置变体、组合变体的研,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,部变体、机翼变体、动力装置变体、组合变体的研,1,2,0.9,已规范化
SE0186,压电作动器,机构/执行系统,,航空学报629595-5装置(AdaptiveTrailingEdgeDevice，ATED)可以实现后缘的智能变弯度，有效降低了飞行油耗［15］。项目过程中开展了多次风洞试验，充分验证了前缘、后缘、…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,航 空 学 报 629595-5 装置(Adaptive Trailing Edge Device， ATED)可以 实现后缘的智能变弯度，有效降低了飞行油耗 ［15］。 项目过程中开展了多次风洞试验，充分验证了前 缘、后缘、翼梢变形的可行性。 2014 年，NASA 组织开展了自适应柔性后缘 (Adaptive Compliant Trailing Edge， ACTE)项 目 ［16］。在湾流飞机上安装ACTE 襟翼来实现后 缘连续,1,1,0.9,已规范化
SE0187,压电驱动,机构/执行系统,,压电驱动用于驱动或支撑变形动作，是实现构型转换的机构或执行系统。,待人工补充,,,1,0,0.6,已规范化
SE0188,变体机构,机构/执行系统,,球鹰”无人机为原准机，开展了变体机构的强度刚度设计，形成了单-双折叠翼变,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,球鹰”无人机为原准机，开展了变体机构的强度刚度设计，形成了单-双折叠翼变,1,20,0.95,已规范化
SE0189,固态驱动器,机构/执行系统,,采用新型形状记忆合金设计固态驱动器代替液,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,采用新型形状记忆合金设计固态驱动器代替液,1,1,0.9,已规范化
SE0190,形状记忆合金驱动,机构/执行系统,,形状记忆合金驱动用于驱动或支撑变形动作，是实现构型转换的机构或执行系统。,待人工补充,,,1,0,0.6,已规范化
SE0191,执行机构,机构/执行系统,,执行机构用于驱动或支撑变形动作，是实现构型转换的机构或执行系统。,待人工补充,,,1,0,0.6,已规范化
SE0192,折展变形机构,机构/执行系统,,2024年中国航天大会论文集SpaceLiner飞行器为代表下一代空天飞行器概念，可以解决民航客机远距离客运飞行时间过长的问题，其远距离水平滑翔降落的特点充分节省了燃料，但是在高空段由于其大曲率的端头…,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,2,2024 年中国航天大会论文集 SpaceLiner飞行器为代表下一代空天飞行器概念，可 以解决民航客机远距离客运飞行时间过长的问题， 其远距离水平滑翔降落的特点充分节省了燃料，但 是在高空段由于其大曲率的端头和展开翼的存在会 面临较大的防热压力。 传统飞行器性能提升面临天花板，变形飞行器 利用新的技术途径，可显著提升飞行性能、拓展任 务剖面，意义重大且发展潜力突出[10]。由此，笔者 提出了一种可变构型的空天飞行器设计方案，通过,1,1,0.9,已规范化
SE0193,智能材料驱动,机构/执行系统,,件、智能材料驱动实现变构的设计方案。基于对飞,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,3,件、智能材料驱动实现变构的设计方案。基于对飞,1,5,0.95,已规范化
SE0194,机构设计,机构/执行系统,,究、结构机构设计研究。在气动特性研究中，重点分析了单-双折叠翼变体飞行器,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,究、结构机构设计研究。在气动特性研究中，重点分析了单-双折叠翼变体飞行器,1,20,0.95,已规范化
SE0195,气动力驱动变体,机构/执行系统,气动力驱动；气动驱动变体,飞行器使用气动力驱动变体，在获得50%变展长能力的同时，极大降低了变体所,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,飞行器使用气动力驱动变体，在获得50%变展长能力的同时，极大降低了变体所,3,43,0.95,已规范化
SE0196,液压驱动器,机构/执行系统,,航空学报629595-5装置(AdaptiveTrailingEdgeDevice，ATED)可以实现后缘的智能变弯度，有效降低了飞行油耗［15］。项目过程中开展了多次风洞试验，充分验证了前缘、后缘、…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,航 空 学 报 629595-5 装置(Adaptive Trailing Edge Device， ATED)可以 实现后缘的智能变弯度，有效降低了飞行油耗 ［15］。 项目过程中开展了多次风洞试验，充分验证了前 缘、后缘、翼梢变形的可行性。 2014 年，NASA 组织开展了自适应柔性后缘 (Adaptive Compliant Trailing Edge， ACTE)项 目 ［16］。在湾流飞机上安装ACTE 襟翼来实现后 缘连续,1,1,0.9,已规范化
SE0197,结构机构设计,机构/执行系统,,究、结构机构设计研究。在气动特性研究中，重点分析了单-双折叠翼变体飞行器,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,究、结构机构设计研究。在气动特性研究中，重点分析了单-双折叠翼变体飞行器,1,20,0.95,已规范化
SE0198,自适应后缘装置,机构/执行系统,adaptive trailing edge,装置(AdaptiveTrailingEdgeDevice，ATED)可以,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,装置(Adaptive Trailing Edge Device， ATED)可以,2,1,0.9,已规范化
