标准关系编号,头标准实体编号,头实体标准名,头实体类型,关系类型,尾标准实体编号,尾实体标准名,尾实体类型,证据句,来源文档,来源页码,置信度,出现次数,抽取方法,复核状态,原始关系编号
SR0186,SE0098,展开构型,气动布局,应用于,SE0378,超声速,任务场景,离无动力滑翔能力，因此展开构型主要用于超声速,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0315
SR0187,SE0266,展弦比,性能指标,应用于,SE0046,单-双折叠翼,变形方式,1)翼展和展弦比：单-双折叠翼变体主要应用于大展弦比长航时飞行器，,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,140,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0498
SR0188,SE0266,展弦比,性能指标,应用于,SE0049,变体技术,变形方式,变体方案并不适用于大展弦比的大型长航时飞机。为此，提高变体技术的性能收,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,31,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0383
SR0189,SE0266,展弦比,性能指标,应用于,SE0055,变展长技术,变形方式,大展弦比变展长变体飞行器的设计规律，得出了变展长变体技术应用于大展弦比,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0390
SR0190,SE0266,展弦比,性能指标,应用于,SE0016,变构飞行器,飞行器对象,大展弦比变展长变体飞行器的设计规律，得出了变展长变体技术应用于大展弦比,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0388
SR0191,SE0266,展弦比,性能指标,应用于,SE0018,大展弦比长航时飞行器,飞行器对象,1)翼展和展弦比：单-双折叠翼变体主要应用于大展弦比长航时飞行器，,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,140,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0500
SR0192,SE0266,展弦比,性能指标,应用于,SE0163,活动机翼,结构部件,展弦比平直机翼，更适用于梁式的机翼结构；同时，为了收纳活动机翼和固定,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,118,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0463
SR0193,SE0266,展弦比,性能指标,应用于,SE0482,设计规律,专业概念,大展弦比变展长变体飞行器的设计规律，得出了变展长变体技术应用于大展弦比,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0389
SR0194,SE0139,展弦比平直机翼,结构部件,应用于,SE0266,展弦比,性能指标,展弦比平直机翼，更适用于梁式的机翼结构；同时，为了收纳活动机翼和固定,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,118,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0462
SR0195,SE0139,展弦比平直机翼,结构部件,应用于,SE0163,活动机翼,结构部件,展弦比平直机翼，更适用于梁式的机翼结构；同时，为了收纳活动机翼和固定,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,118,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0221
SR0196,SE0144,形状记忆合金,结构部件,应用于,SE0148,智能机翼,结构部件,能材料与结构的应用进一步加强，以形状记忆合金,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0024
SR0197,SE0477,总体参数拟定,专业概念,应用于,SE0476,平面形状设计,专业概念,展了适用于单-双折叠翼变体飞行器的飞机总体参数拟定方法和平面形状设计方,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0135
SR0198,SE0102,折叠构型,气动布局,应用于,SE0354,高空大攻角减速,性能指标,力的空天飞行器设计方案。通过计算流体力学(CFD)方法，对折叠构型和展开构型的空天飞行器在不同高度、不同马赫数、,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0060
SR0199,SE0278,攻角,性能指标,应用于,SE0262,大攻角,性能指标,攻角飞行还是大攻角飞行𝐶௟ఉሺௗ௬௡ሻ均为负，即满足航,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,6,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0555
SR0200,SE0287,横向气动导数,性能指标,应用于,SE0289,横向静稳定性,性能指标,折叠构型在高超声速状态下的横向气动导数，如图,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,5,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0070
SR0201,SE0423,气动优化设计技术,研究方法,应用于,SE0106,气动布局方案优化,气动布局,此外，基于人工智能的气动优化设计技术的,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,35,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0036
SR0202,SE0291,气动力,性能指标,应用于,SE0254,升力,性能指标,3)飞机的几何外形应满足气动力驱动变体对于飞机升力分布和舵效的要,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,124,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0529
SR0203,SE0195,气动力驱动变体,机构/执行系统,应用于,SE0254,升力,性能指标,3)飞机的几何外形应满足气动力驱动变体对于飞机升力分布和舵效的要,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,124,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0528
SR0204,SE0195,气动力驱动变体,机构/执行系统,应用于,SE0291,气动力,性能指标,3)飞机的几何外形应满足气动力驱动变体对于飞机升力分布和舵效的要,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,124,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0527
SR0205,SE0105,气动布局,气动布局,应用于,SE0218,控制方案,控制方法,气动布局设计是飞行器结构、控制方案设计,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0031
SR0206,SE0105,气动布局,气动布局,应用于,SE0168,结构设计,结构部件,估技术是指导气动布局设计、结构设计、控制系,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,31,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0030
SR0207,SE0299,气动性能,性能指标,应用于,SE0094,双翼布局,气动布局,维展向气动特性，并根据研究结果总结提炼出适用于双翼布局飞行器总体设计的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,52,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0417
SR0208,SE0299,气动性能,性能指标,应用于,SE0478,总体设计,专业概念,维展向气动特性，并根据研究结果总结提炼出适用于双翼布局飞行器总体设计的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,52,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0418
SR0209,SE0163,活动机翼,结构部件,应用于,SE0093,双翼,气动布局,活动机翼的内侧端面向前偏转变形；在双翼状态，,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,116,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0316
SR0210,SE0163,活动机翼,结构部件,应用于,SE0321,翼展,专业概念,式适用于机翼形状与RQ-4A 相同，固定机翼和活动机翼翼展相等时的情形。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,134,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0372
SR0211,SE0078,滑动蒙皮,变形方式,应用于,SE0067,折叠翼,变形方式,可应用于伸缩机翼、滑动蒙皮机翼和折叠机翼的,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,35,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0326
SR0212,SE0371,爬升,任务场景,应用于,SE0376,起降阶段,专业概念,持一定的爬升率；在起降阶段，飞机的推重比应满足起降距离的要求。在飞行,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,123,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0228
SR0213,SE0226,等离子体激励,专业概念,应用于,SE0202,主动流动控制,控制方法,［124］、迎风凹腔、等离子体激励等传统,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0081
SR0214,SE0317,纵向压心系数,性能指标,应用于,SE0318,纵向稳定性,性能指标,的亚声速条件下纵向压心系数随攻角的变化曲线。,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,5,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0068
SR0215,SE0167,结构强度,结构部件,应用于,SE0055,变展长技术,变形方式,形尺度较小，其结构强度也无法满足大型飞行器的需求。综合来看，这些变展长,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,31,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0142
SR0216,SE0171,翼型,结构部件,应用于,SE0095,双翼构型,气动布局,装了一段厚翼型形状的翼台，该翼台用于在双翼构型下固定活动机翼。机身尾,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,142,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0244
SR0217,SE0171,翼型,结构部件,应用于,SE0163,活动机翼,结构部件,装了一段厚翼型形状的翼台，该翼台用于在双翼构型下固定活动机翼。机身尾,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,142,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0245
SR0218,SE0321,翼展,专业概念,应用于,SE0046,单-双折叠翼,变形方式,1)翼展和展弦比：单-双折叠翼变体主要应用于大展弦比长航时飞行器，,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,140,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0499
SR0219,SE0321,翼展,专业概念,应用于,SE0018,大展弦比长航时飞行器,飞行器对象,1)翼展和展弦比：单-双折叠翼变体主要应用于大展弦比长航时飞行器，,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,140,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0501
SR0220,SE0321,翼展,专业概念,应用于,SE0266,展弦比,性能指标,1)翼展和展弦比：单-双折叠翼变体主要应用于大展弦比长航时飞行器，,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,140,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0497
SR0221,SE0323,航向气动导数,性能指标,应用于,SE0325,航向静稳定性,性能指标,况，因此，不能简单从航向气动导数来判定飞行器,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,5,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0071
SR0222,SE0481,荷兰滚模态判据,专业概念,应用于,SE0325,航向静稳定性,性能指标,向稳定性的荷兰滚模态判据。可以看出，无论是小,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,6,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0067
SR0223,SE0398,设计约束,设计问题,应用于,SE0470,几何外形设计,专业概念,在满足设计约束的基础上，单-双折叠翼变体飞机的几何外形设计还需要进一,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,124,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0232
SR0224,SE0398,设计约束,设计问题,应用于,SE0046,单-双折叠翼,变形方式,器设计中，推重比应同时满足上述三项设计约束。对于单-双折叠翼变体飞行,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,123,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0229
SR0225,SE0398,设计约束,设计问题,应用于,SE0012,单-双折叠翼变体飞行器,飞行器对象,在满足设计约束的基础上，单-双折叠翼变体飞机的几何外形设计还需要进一,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,124,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0230
SR0226,SE0482,设计规律,专业概念,应用于,SE0055,变展长技术,变形方式,大展弦比变展长变体飞行器的设计规律，得出了变展长变体技术应用于大展弦比,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0147
SR0227,SE0035,飞行器气动布局,飞行器对象,应用于,SE0107,气动布局设计,气动布局,法已无法满足变体飞行器气动布局设计的需要。,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,36,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0329
SR0228,SE0240,鸭翼舵面控制,控制方法,应用于,SE0022,导弹,飞行器对象,较大的操纵力矩。此外，与鸭翼舵面控制导弹相,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0074
SR0229,SE0440,ACADO,项目/机构,影响,SE0124,副翼,结构部件,20000 N·m。经ACADO 计算，此时固定机翼副翼可产生的最大滚转控制力矩,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,103,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0584
SR0230,SE0440,ACADO,项目/机构,影响,SE0046,单-双折叠翼,变形方式,开展分析，ACADO 具有模块化的结构，可以将单-双折叠翼变体带来的各项,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,133,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0621
SR0231,SE0440,ACADO,项目/机构,影响,SE0129,固定机翼,结构部件,20000 N·m。经ACADO 计算，此时固定机翼副翼可产生的最大滚转控制力矩,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,103,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0582
SR0232,SE0440,ACADO,项目/机构,影响,SE0223,滚转控制,控制方法,20000 N·m。经ACADO 计算，此时固定机翼副翼可产生的最大滚转控制力矩,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,103,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0585
SR0233,SE0086,上下机翼,气动布局,影响,SE0093,双翼,气动布局,1)上下机翼的位置关系对双翼气动性能的影响,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,55,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0891
SR0234,SE0086,上下机翼,气动布局,影响,SE0299,气动性能,性能指标,1)上下机翼的位置关系对双翼气动性能的影响,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,55,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0892
SR0235,SE0086,上下机翼,气动布局,影响,SE0322,翼展比,性能指标,4)上下机翼的翼展比对于双翼升力阻力特性的影响,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,75,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0860
SR0236,SE0115,上机翼,结构部件,影响,SE0116,下机翼,结构部件,过重叠网格的移动改变上机翼相对于下机翼的位置相对位置x 和y ，其中上机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,56,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0618
SR0237,SE0115,上机翼,结构部件,影响,SE0093,双翼,气动布局,为了研究上机翼上反对于双翼升力阻力特性的影响，在保持翼根处上下翼间,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,77,0.86,2,规则抽取+标准实体映射+重复三元组去重,已规范化,R0804；R0923
SR0238,SE0115,上机翼,结构部件,影响,SE0129,固定机翼,结构部件,构型翼展固定的情况下，间断位置决定了活动机翼(上翼)和固定机翼(下,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,128,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0811
SR0239,SE0115,上机翼,结构部件,影响,SE0299,气动性能,性能指标,比、翼展比、上机翼上反等设计参数对于双翼气动性能的影响，并得出了双翼,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,93,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0731
SR0240,SE0087,二维双翼,气动布局,影响,SE0299,气动性能,性能指标,于二维双翼气动性能的影响，并结合双翼的流场结构，总结了多条双翼气动设,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,93,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0729
SR0241,SE0385,产品化推进,专业概念,影响,SE0395,综合指标,专业概念,提出现阶段变构飞行的高成本特征是其无法顺利向产品化推进的重要限制之一；采取费效比等综合指标方式对变构飞行的代,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0578
SR0242,SE0385,产品化推进,专业概念,影响,SE0399,费效比,设计问题,提出现阶段变构飞行的高成本特征是其无法顺利向产品化推进的重要限制之一；采取费效比等综合指标方式对变构飞行的代,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0577
SR0243,SE0041,伸缩翼,变形方式,影响,SE0169,结构重量,结构部件,图 1.20 王礼佳等人研发的多级伸缩式的伸缩机翼 ..................................... 11,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,11,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0019
SR0244,SE0041,伸缩翼,变形方式,影响,SE0321,翼展,专业概念,对伸缩机翼导弹的研究表明改变机翼翼展可以,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,20,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0017
SR0245,SE0247,俯仰力矩,性能指标,影响,SE0124,副翼,结构部件,翼偏转所产生的额外俯仰力矩。当副翼偏转时，机翼的升力大小和升力中心位,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,90,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1156
SR0246,SE0247,俯仰力矩,性能指标,影响,SE0254,升力,性能指标,翼偏转所产生的额外俯仰力矩。当副翼偏转时，机翼的升力大小和升力中心位,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,90,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1157
SR0247,SE0247,俯仰力矩,性能指标,影响,SE0278,攻角,性能指标,起的俯仰力矩变化远大于机翼攻角改变所引起的俯仰力矩变化，活动机翼和连杆,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,94,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1070
SR0248,SE0247,俯仰力矩,性能指标,影响,SE0163,活动机翼,结构部件,转对于机翼俯仰力矩的影响。据此，若连杆与活动机翼的连接处位于45%弦,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,92,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1163
SR0249,SE0124,副翼,结构部件,影响,SE0247,俯仰力矩,性能指标,化远小于因副翼偏转所产生的俯仰力矩变化，因此在设计中应更多考虑副翼偏,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,92,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1162
SR0250,SE0124,副翼,结构部件,影响,SE0254,升力,性能指标,(a)变体前，活动机翼的副翼上偏，使机翼升力与重力刚好抵消，从而解开机翼固定,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,44,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0952
SR0251,SE0124,副翼,结构部件,影响,SE0291,气动力,性能指标,在双翼构型下的气动特性、变体过程中的气动特性以及气动力驱动变体的副翼特,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0045
SR0252,SE0124,副翼,结构部件,影响,SE0163,活动机翼,结构部件,变化和副翼偏转角度变化而产生的俯仰力矩，则连杆与活动机翼的连接点可以,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,92,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0728
SR0253,SE0124,副翼,结构部件,影响,SE0310,滚转力矩,性能指标,(d)当两个副翼差动时，产生滚转力矩，控制机翼自转,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,45,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0859
SR0254,SE0124,副翼,结构部件,影响,SE0223,滚转控制,控制方法,20000 N·m。经ACADO 计算，此时固定机翼副翼可产生的最大滚转控制力矩,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,103,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0581
SR0255,SE0254,升力,性能指标,影响,SE0093,双翼,气动布局,气动特性的影响非常小。除最大升力系数有所区别外，不同梢根比的双翼升力,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,74,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1126
SR0256,SE0254,升力,性能指标,影响,SE0051,变体过程,变形方式,均产生升力，且二者的升力之和等于飞机的重力。在变体过程中，全机的升力,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,89,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1149
SR0257,SE0254,升力,性能指标,影响,SE0286,梢根比,性能指标,气动特性的影响非常小。除最大升力系数有所区别外，不同梢根比的双翼升力,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,74,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1124
SR0258,SE0254,升力,性能指标,影响,SE0163,活动机翼,结构部件,和升力中心的位置也发生改变，此时活动机翼的升力和重力在活动机翼和连杆,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,106,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1178
SR0259,SE0046,单-双折叠翼,变形方式,影响,SE0470,几何外形设计,专业概念,单-双折叠翼变体给飞机几何外形设计主要带来了两方面的影响，一是改,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,125,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0834
SR0260,SE0046,单-双折叠翼,变形方式,影响,SE0051,变体过程,变形方式,图 6.2 单-双折叠翼变体过程中升力和重力的产生的扭矩,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,106,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0847
SR0261,SE0046,单-双折叠翼,变形方式,影响,SE0266,展弦比,性能指标,机总体设计方法带来了新的挑战。一方面，单-双折叠翼变体解决了大展弦比,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,120,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1192
SR0262,SE0046,单-双折叠翼,变形方式,影响,SE0073,机翼扭转,变形方式,翼尖负扭转的设计，单-双折叠翼变体基本不改变原有的机翼扭转角的设计规,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,126,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0766
SR0263,SE0046,单-双折叠翼,变形方式,影响,SE0291,气动力,性能指标,果，以及飞机平面外形设计参数对单-双折叠翼变体的影响和气动力驱动变体,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,33,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1077
SR0264,SE0046,单-双折叠翼,变形方式,影响,SE0195,气动力驱动变体,机构/执行系统,果，以及飞机平面外形设计参数对单-双折叠翼变体的影响和气动力驱动变体,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,33,0.86,2,规则抽取+标准实体映射+重复三元组去重,已规范化,R0677；R0748
SR0265,SE0046,单-双折叠翼,变形方式,影响,SE0396,设计准则,专业概念,果表明，单-双折叠翼变体基本不改变大展弦比飞行器原有的设计准则和设计,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,139,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0782
SR0266,SE0012,单-双折叠翼变体飞行器,飞行器对象,影响,SE0470,几何外形设计,专业概念,定的影响；其后，开展了单-双折叠翼变体飞行器的几何外形设计方法研究，,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,120,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0749
SR0267,SE0012,单-双折叠翼变体飞行器,飞行器对象,影响,SE0124,副翼,结构部件,小。但对于单-双折叠翼变体飞行器来说，活动机翼的副翼偏转所产生的俯仰,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,90,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0727
SR0268,SE0012,单-双折叠翼变体飞行器,飞行器对象,影响,SE0095,双翼构型,气动布局,行稳定性的影响也越小(单-双折叠翼变体飞机在双翼构型下活动机翼的气动,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,126,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0763
SR0269,SE0012,单-双折叠翼变体飞行器,飞行器对象,影响,SE0163,活动机翼,结构部件,小。但对于单-双折叠翼变体飞行器来说，活动机翼的副翼偏转所产生的俯仰,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,90,0.86,2,规则抽取+标准实体映射+重复三元组去重,已规范化,R0726；R0764
SR0270,SE0089,单翼构型,气动布局,影响,SE0095,双翼构型,气动布局,数。在阻力方面，排除连杆对于阻力的影响，相较于单翼构型，双翼构型的零,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,78,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0717
SR0271,SE0093,双翼,气动布局,影响,SE0296,气动干扰,性能指标,前一直在飞机中占据主导地位。但由于双翼之间的气动干扰和支柱等结构带来,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,52,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1093
SR0272,SE0093,双翼,气动布局,影响,SE0299,气动性能,性能指标,结果可以看出，在一定范围内，翼展比的变化对于双翼气动特性的影响同样非,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,75,0.83,2,规则抽取+标准实体映射+重复三元组去重,已规范化,R0890；R1134
SR0273,SE0093,双翼,气动布局,影响,SE0327,诱导阻力,性能指标,翼升力分布本身较差，梢根比的变化对于双翼展向流动和诱导阻力的影响较,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,126,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0809
SR0274,SE0095,双翼构型,气动布局,影响,SE0256,升阻比,性能指标,束产生影响。在起降时飞机为双翼构型，阻力系数较高，起降升阻比相较于常,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,123,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1208
SR0275,SE0095,双翼构型,气动布局,影响,SE0299,气动性能,性能指标,小，梢根比的变化对于双翼构型下飞机的气动性能影响不大。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,126,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0852
SR0276,SE0095,双翼构型,气动布局,影响,SE0163,活动机翼,结构部件,行稳定性的影响也越小(单-双折叠翼变体飞机在双翼构型下活动机翼的气动,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,126,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0762
SR0277,SE0095,双翼构型,气动布局,影响,SE0172,翼根,结构部件,机翼之间的间距会受到机身高度的限制。若在双翼构型下，保持翼根处上下机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,76,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0712
SR0278,SE0095,双翼构型,气动布局,影响,SE0337,阻力,性能指标,束产生影响。在起降时飞机为双翼构型，阻力系数较高，起降升阻比相较于常,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,123,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R1205
SR0279,SE0095,双翼构型,气动布局,影响,SE0338,阻力系数,性能指标,束产生影响。在起降时飞机为双翼构型，阻力系数较高，起降升阻比相较于常,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,123,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0752
